T_amb,Q_AC_kW,COP_inner,P_elec_kW
-15,13.675525220221855,5.810185712030566,2.353715681050491
-14,13.675525220221855,5.810185712030566,2.353715681050491
-13,13.675525220221855,5.810185712030566,2.353715681050491
-12,13.675525220221855,5.810185712030566,2.353715681050491
-11,13.675525220221855,5.810185712030566,2.353715681050491
-10,13.675525220221855,5.810185712030566,2.353715681050491
-9,13.675525220221855,5.810185712030566,2.353715681050491
-8,13.675525220221855,5.810185712030566,2.353715681050491
-7,13.675525220221855,5.810185712030566,2.353715681050491
-6,13.675525220221855,5.810185712030566,2.353715681050491
-5,13.675525220221855,5.810185712030566,2.353715681050491
-4,13.675525220221855,5.810185712030566,2.353715681050491
-3,13.675525220221855,5.810185712030566,2.353715681050491
-2,13.675525220221855,5.810185712030566,2.353715681050491
-1,13.675525220221855,5.810185712030566,2.353715681050491
0,13.675525220221855,5.810185712030566,2.353715681050491
1,13.675525220221855,5.810185712030566,2.353715681050491
2,13.675525220221855,5.810185712030566,2.353715681050491
3,13.675525220221855,5.810185712030566,2.353715681050491
4,13.675525220221855,5.810185712030566,2.353715681050491
5,13.675525220221855,5.810185712030566,2.353715681050491
6,13.675525220221855,5.810185712030566,2.353715681050491
7,13.675525220221855,5.810185712030566,2.353715681050491
8,13.675525220221855,5.810185712030566,2.353715681050491
9,13.675525220221855,5.810185712030566,2.353715681050491
10,13.675525220221855,5.810185712030566,2.353715681050491
11,13.675525220221855,5.810185712030566,2.353715681050491
12,13.675525220221855,5.810185712030566,2.353715681050491
13,13.675525220221855,5.810185712030566,2.353715681050491
14,13.675525220221855,5.810185712030566,2.353715681050491
15,13.675525220221855,5.810185712030566,2.353715681050491
16,13.675525220221855,5.810185712030566,2.353715681050491
17,13.675525220221855,5.810185712030566,2.353715681050491
18,13.675525220221855,5.810185712030566,2.353715681050491
19,13.675525220221855,5.810185712030566,2.353715681050491
20,13.675525220221855,5.810185712030566,2.353715681050491
21,13.675525220221855,5.810185712030566,2.353715681050491
22,13.675525220221855,5.810185712030566,2.353715681050491
23,13.675525220221855,5.810185712030566,2.353715681050491
24,13.675525220221855,5.810185712030566,2.353715681050491
25,13.675525220221855,5.810185712030566,2.353715681050491
26,13.675525220221855,5.810185712030566,2.353715681050491
27,13.675525220221855,5.810185712030566,2.353715681050491
28,13.675525220221855,5.810185712030566,2.353715681050491
29,13.675525220221855,5.810185712030566,2.353715681050491
30,13.675525220221855,5.810185712030566,2.353715681050491
31,13.675525220221855,5.810185712030566,2.353715681050491
32,13.653895684120982,5.780703075312005,2.3619783798329816
33,13.480275730867058,5.551925851848982,2.4280359807719085
34,13.306690156246868,5.336394172248127,2.493573324371014
35,13.133128286775742,5.133032023661675,2.5585517928265635
36,12.959580293421677,4.940867775185116,2.6229360677307603
37,12.78603706029711,4.759022565257575,2.686693934514909
38,12.612490066331299,4.586700128836614,2.749796086959444
39,12.438931277355437,4.423177866324334,2.8122159346244433
40,12.265353046441097,4.267798986631261,2.8739294153407666
