T_amb,Q_AC_kW,COP_inner,P_elec_kW
-15,0.13675525220221854,5.810185712030567,0.023537156810504906
-14,0.13675525220221854,5.810185712030567,0.023537156810504906
-13,0.13675525220221854,5.810185712030567,0.023537156810504906
-12,0.13675525220221854,5.810185712030567,0.023537156810504906
-11,0.13675525220221854,5.810185712030567,0.023537156810504906
-10,0.13675525220221854,5.810185712030567,0.023537156810504906
-9,0.13675525220221854,5.810185712030567,0.023537156810504906
-8,0.13675525220221854,5.810185712030567,0.023537156810504906
-7,0.13675525220221854,5.810185712030567,0.023537156810504906
-6,0.13675525220221854,5.810185712030567,0.023537156810504906
-5,0.13675525220221854,5.810185712030567,0.023537156810504906
-4,0.13675525220221854,5.810185712030567,0.023537156810504906
-3,0.13675525220221854,5.810185712030567,0.023537156810504906
-2,0.13675525220221854,5.810185712030567,0.023537156810504906
-1,0.13675525220221854,5.810185712030567,0.023537156810504906
0,0.13675525220221854,5.810185712030567,0.023537156810504906
1,0.13675525220221854,5.810185712030567,0.023537156810504906
2,0.13675525220221854,5.810185712030567,0.023537156810504906
3,0.13675525220221854,5.810185712030567,0.023537156810504906
4,0.13675525220221854,5.810185712030567,0.023537156810504906
5,0.13675525220221854,5.810185712030567,0.023537156810504906
6,0.13675525220221854,5.810185712030567,0.023537156810504906
7,0.13675525220221854,5.810185712030567,0.023537156810504906
8,0.13675525220221854,5.810185712030567,0.023537156810504906
9,0.13675525220221854,5.810185712030567,0.023537156810504906
10,0.13675525220221854,5.810185712030567,0.023537156810504906
11,0.13675525220221854,5.810185712030567,0.023537156810504906
12,0.13675525220221854,5.810185712030567,0.023537156810504906
13,0.13675525220221854,5.810185712030567,0.023537156810504906
14,0.13675525220221854,5.810185712030567,0.023537156810504906
15,0.13675525220221854,5.810185712030567,0.023537156810504906
16,0.13675525220221854,5.810185712030567,0.023537156810504906
17,0.13675525220221854,5.810185712030567,0.023537156810504906
18,0.13675525220221854,5.810185712030567,0.023537156810504906
19,0.13675525220221854,5.810185712030567,0.023537156810504906
20,0.13675525220221854,5.810185712030567,0.023537156810504906
21,0.13675525220221854,5.810185712030567,0.023537156810504906
22,0.13675525220221854,5.810185712030567,0.023537156810504906
23,0.13675525220221854,5.810185712030567,0.023537156810504906
24,0.13675525220221854,5.810185712030567,0.023537156810504906
25,0.13675525220221854,5.810185712030567,0.023537156810504906
26,0.13675525220221854,5.810185712030567,0.023537156810504906
27,0.13675525220221854,5.810185712030567,0.023537156810504906
28,0.13675525220221854,5.810185712030567,0.023537156810504906
29,0.13675525220221854,5.810185712030567,0.023537156810504906
30,0.13675525220221854,5.810185712030567,0.023537156810504906
31,0.13675525220221854,5.810185712030567,0.023537156810504906
32,0.1365389568412098,5.780703075312005,0.023619783798329814
33,0.13480275730867056,5.551925851848982,0.02428035980771908
34,0.13306690156246864,5.336394172248127,0.024935733243710134
35,0.13133128286775742,5.133032023661676,0.02558551792826563
36,0.12959580293421674,4.940867775185116,0.026229360677307596
37,0.12786037060297106,4.759022565257575,0.026866939345149082
38,0.12612490066331297,4.586700128836614,0.027497960869594437
39,0.12438931277355433,4.423177866324333,0.02812215934624443
40,0.12265353046441095,4.267798986631261,0.02873929415340766
