refrigerant,bore_mm,season,hour,E_ac_kWh,E_vent_kWh
Propane,30.0,summer,21,0.5894149603428771,0.3558310555337817
Propane,30.0,summer,22,0.5096776430097019,0.30499804760038435
Propane,30.0,summer,23,0.5010870148010406,0.30499804760038435
Propane,30.0,fall,0,0.3328777462652386,0.21583203173358959
Propane,30.0,fall,1,0.5029630144417154,0.30499804760038435
Propane,30.0,fall,2,0.4987317503670548,0.30499804760038435
Propane,30.0,fall,3,0.33327232351477876,0.25333203173358954
Propane,30.0,fall,4,0.3863090674649763,0.32916503966698696
Propane,30.0,fall,5,0.6199611594816858,0.4316640634671791
Propane,30.0,fall,6,0.7536513574810592,0.520830079333974
Propane,30.0,fall,7,0.7650264884973432,0.520830079333974
Propane,30.0,fall,8,0.7406686678081851,0.520830079333974
Propane,30.0,fall,9,0.931468392560985,0.6099960952007687
Propane,30.0,fall,10,0.8466967642847859,0.6099960952007687
Propane,30.0,fall,11,0.8079555605955868,0.520830079333974
Propane,30.0,fall,12,0.7695005438396072,0.520830079333974
Propane,30.0,fall,13,0.7501204085829403,0.520830079333974
Propane,30.0,fall,14,0.9336027926560657,0.6099960952007687
Propane,30.0,fall,15,0.8352854890404965,0.6099960952007687
Propane,30.0,fall,16,0.7891148074423293,0.520830079333974
Propane,30.0,fall,17,0.6100868257378788,0.43166406346717917
Propane,30.0,fall,18,0.627946317355879,0.43166406346717917
Propane,30.0,fall,19,0.6298996033398792,0.4316640634671791
Propane,30.0,fall,20,0.4929009670427511,0.31749804760038436
Propane,30.0,fall,21,0.405183960129238,0.30416503966698694
Propane,30.0,fall,22,0.4155117585709952,0.30416503966698694
Propane,30.0,fall,23,0.41073048961095604,0.291665039666987
Propane,40.0,winter,0,0.0,0.09999999999999999
Propane,40.0,winter,1,0.18840402609512943,0.16536979188159534
Propane,40.0,winter,2,0.0,0.09999999999999999
Propane,40.0,winter,3,0.0,0.09999999999999999
Propane,40.0,winter,4,0.1617282274750742,0.19036979188159533
Propane,40.0,winter,5,0.0,0.14999999999999997
Propane,40.0,winter,6,0.7160376700846133,0.5143489594079766
Propane,40.0,winter,7,0.8799792196705325,0.5797187512895721
Propane,40.0,winter,8,1.0188812590454042,0.6575885431711673
Propane,40.0,winter,9,1.0292562054580263,0.6700885431711674
Propane,40.0,winter,10,1.1783665539910717,0.7479583350527628
Propane,40.0,winter,11,0.8905613277340578,0.5797187512895721
Propane,40.0,winter,12,1.1910707733622459,0.7479583350527628
Propane,40.0,winter,13,0.9126121645598909,0.5797187512895721
Propane,40.0,winter,14,1.0284963536011837,0.6575885431711673
Propane,40.0,winter,15,1.0447768813838045,0.6700885431711674
Propane,40.0,winter,16,1.0243211323052979,0.6575885431711673
Propane,40.0,winter,17,0.8844973615916684,0.592218751289572
Propane,40.0,winter,18,0.4795535599377354,0.33360937564478604
Propane,40.0,winter,19,0.0,0.14999999999999997
Propane,40.0,winter,20,0.0,0.13749999999999996
Propane,40.0,winter,21,0.0,0.13749999999999996
Propane,40.0,winter,22,0.0,0.12499999999999996
Propane,40.0,winter,23,0.0,0.11249999999999996
Propane,40.0,spring,0,0.0,0.11249999999999999
Propane,40.0,spring,1,0.0,0.13749999999999996
Propane,40.0,spring,2,0.0,0.12499999999999996
Propane,40.0,spring,3,0.0,0.11249999999999996
Propane,40.0,spring,4,0.0,0.14999999999999997
Propane,40.0,spring,5,0.7456568943382662,0.5143489594079766
Propane,40.0,spring,6,0.8893595175707981,0.5797187512895721
Propane,40.0,spring,7,0.9143615907391612,0.5797187512895721
Propane,40.0,spring,8,1.2017387441399312,0.7479583350527628
Propane,40.0,spring,9,1.0621077743506095,0.6575885431711673
Propane,40.0,spring,10,1.0882192602161158,0.6700885431711674
Propane,40.0,spring,11,1.2674250440785104,0.7479583350527628
Propane,40.0,spring,12,1.2682079015416337,0.7479583350527628
Propane,40.0,spring,13,0.9545691472650751,0.5797187512895721
Propane,40.0,spring,14,1.2546334427932342,0.7479583350527628
Propane,40.0,spring,15,1.205441079166339,0.7479583350527628
Propane,40.0,spring,16,1.0537220009541346,0.6575885431711673
Propane,40.0,spring,17,0.9445123194680067,0.5797187512895721
Propane,40.0,spring,18,0.9312086749729398,0.567218751289572
Propane,40.0,spring,19,0.8094961572176738,0.4643489594079767
Propane,40.0,spring,20,0.6843148595479551,0.4239791675263813
Propane,40.0,spring,21,0.3461686307284092,0.2682395837631907
Propane,40.0,spring,22,0.17422900428119387,0.21536979188159533
Propane,40.0,spring,23,0.0,0.14999999999999997
Propane,40.0,summer,0,0.8967678380288311,0.4518489594079767
Propane,40.0,summer,1,0.7318038945054621,0.3614791675263814
Propane,40.0,summer,2,0.7292110622588309,0.3614791675263814
Propane,40.0,summer,3,0.8682948643895871,0.46434895940797666
Propane,40.0,summer,4,0.9583077745209947,0.5547187512895719
