T_room,T_amb,Q_AC_kW,COP_inner,clamped
8.0,0.0,2.524719295170722,6.230638964123555,True
8.0,1.0,2.524719295170722,6.230638964123555,True
8.0,2.0,2.524719295170722,6.230638964123555,True
8.0,3.0,2.524719295170722,6.230638964123555,True
8.0,4.0,2.524719295170722,6.230638964123555,True
8.0,5.0,2.524719295170722,6.230638964123555,True
8.0,6.0,2.524719295170722,6.230638964123555,True
8.0,7.0,2.5198113049800397,6.1898629182727145,False
8.0,8.0,2.4950920233590312,5.990654316028582,False
8.0,9.0,2.4703934917834305,5.801325547371588,False
8.0,10.0,2.445712835288934,5.621138162322119,False
8.0,11.0,2.4210476269421934,5.449433348402595,False
8.0,12.0,2.3963958319661858,5.285619791713125,False
8.0,13.0,2.371755761120726,5.129163954239825,False
8.0,14.0,2.3471260315192475,4.979582190210253,False
8.0,15.0,2.322505533476492,4.836434280388459,False
8.0,16.0,2.297893402284084,4.6993180734508595,False
8.0,17.0,2.2732889940429795,4.567865001752952,False
8.0,18.0,2.2486918648597074,4.441736295279649,False
8.0,19.0,2.2241017528471456,4.320619758784701,False
8.0,20.0,2.1995185624815368,4.204227007647922,False
8.0,21.0,2.1749423509460053,4.092291080701209,False
8.0,22.0,2.1503733161624115,3.9845643655184837,False
8.0,23.0,2.125811786260529,3.8808167847251034,False
8.0,24.0,2.101258210280358,3.780834201975497,False
8.0,25.0,2.0767131499360105,3.684417014327761,False
8.0,26.0,2.052177272296861,3.591378903102759,False
8.0,27.0,2.027651343264768,3.5015457214539656,False
8.0,28.0,2.003136221746143,3.414754499454185,False
8.0,29.0,1.9786328544311302,3.33085255135137,False
8.0,30.0,1.954142271105561,3.249696671894652,False
8.0,31.0,1.9296655804339098,3.1711524107049667,False
8.0,32.0,1.9052039661567957,3.095093415307425,False
8.0,33.0,1.8807586836581074,3.021400834832037,False
8.0,34.0,1.856331056859734,2.9499627775036203,False
8.0,35.0,1.831922475410258,2.8806738160024943,False
8.0,36.0,1.8075343921359432,2.8134345355545327,False
9.0,0.0,2.6009041584009167,6.286080082881841,True
9.0,1.0,2.6009041584009167,6.286080082881841,True
9.0,2.0,2.6009041584009167,6.286080082881841,True
9.0,3.0,2.6009041584009167,6.286080082881841,True
9.0,4.0,2.6009041584009167,6.286080082881841,True
9.0,5.0,2.6009041584009167,6.286080082881841,True
9.0,6.0,2.6009041584009167,6.286080082881841,True
9.0,7.0,2.6009041584009167,6.286080082881841,True
9.0,8.0,2.6004739366548852,6.282535011867103,False
9.0,9.0,2.574999574349224,6.078005453183693,False
9.0,10.0,2.549547867527639,5.883705437276665,False
9.0,11.0,2.5241158508010844,5.6988715126636444,False
9.0,12.0,2.498701018119338,5.522821681751268,False
9.0,13.0,2.4733012653996242,5.354943151009114,False
9.0,14.0,2.4479148426531223,5.194682496193984,False
9.0,15.0,2.4225403137480988,5.041537668497332,False
9.0,16.0,2.3971765223638664,4.895051422573574,False
9.0,17.0,2.3718225630040184,4.754805856711356,False
9.0,18.0,2.3464777561757866,4.620417833107727,False
9.0,19.0,2.321141627021146,4.491535102280768,False
9.0,20.0,2.2958138868301146,4.36783299670996,False
9.0,21.0,2.27049441697079,4.249011589060474,False
9.0,22.0,2.2451832548620234,4.134793233079163,False
9.0,23.0,2.2198805816768044,4.0249204222866055,False
9.0,24.0,2.194586711523176,3.9191539150066186,False
9.0,25.0,2.1693020818913396,3.8172710834508066,False
9.0,26.0,2.144027245190203,3.7190644538749247,False
