refrigerant,bore_mm,frac_T_recommended,frac_T_allowable,frac_phi_allowable,frac_dp_recommended,frac_dp_allowable,T_min,T_max,phi_min,phi_max,dp_min,dp_max,ac_starts_total,vent_starts_total,ac_min_total,vent_min_total,off_min_total,E_ac_kWh,E_vent_kWh,E_total_kWh,error,rank
Propane,30.0,0.9279513888888888,1.0,1.0,1.0,1.0,15.000000000000046,31.6109223657728,0.11454040985870996,0.7205634548199038,-5.736677576405473,13.32176575824418,114,90,3640.0,1165.0,955.0,56.900081691381835,39.9189297755133,96.81901146689513,,0
R1234yf,40.0,0.8706597222222222,1.0,1.0,1.0,1.0,15.000000000000046,33.816957286201195,0.11751155546607017,0.7840275316430819,-5.75092377226796,14.081788953164006,163,136,2770.0,1680.0,1310.0,59.34343130114921,43.87862216511257,103.22205346626177,,1
R1234yf,30.0,0.5902777777777778,1.0,1.0,1.0,1.0,15.000000000000046,32.1519756760173,0.08315362247549052,0.5999999999999978,-5.738998599111967,10.061681367258968,53,48,4080.0,1130.0,550.0,48.13847525635505,35.69952630647414,83.83800156282919,,2
DimethylEther,30.0,0.5425347222222223,1.0,1.0,1.0,1.0,15.000000000000046,33.5523034491391,0.08673682743051367,0.5999999999999978,-4.140818831130527,10.853776345475934,44,54,4140.0,1120.0,500.0,45.79523594464201,35.483237217535574,81.27847316217759,,3
DimethylEther,40.0,0.875,1.0,0.9982638888888888,1.0,1.0,15.000000000000046,33.70921207546407,0.11572989827541251,0.8171106683682409,-5.750923753756928,14.905802013529286,155,127,2890.0,1605.0,1265.0,56.274888674488714,44.57269562369417,100.84758429818288,,4
R1234yf,50.0,0.842013888888889,1.0,0.9973958333333334,1.0,1.0,15.000000000000046,33.87106735065016,0.11592497254701821,0.8420578205512078,-5.751093030532546,13.847407896261746,223,171,2255.0,1790.0,1715.0,83.99529557977229,54.94617158299236,138.94146716276464,,5
Propane,40.0,0.8619791666666667,1.0,0.9965277777777778,1.0,1.0,15.000000000000046,33.45088860800847,0.12118889862021873,0.8235279275234992,-5.7511441387725855,13.86441809721313,200,161,2365.0,1850.0,1545.0,74.87406081662903,47.36991155999459,122.24397237662362,,6
DimethylEther,50.0,0.8645833333333334,1.0,0.9904513888888888,1.0,1.0,15.000000000000046,33.63161371657913,0.1158422183106,0.8699369035003067,-5.751144153125468,14.814524558845303,209,171,2270.0,1900.0,1590.0,76.27594005190545,54.52921932622502,130.80515937813047,,7
Propane,50.0,0.8289930555555556,1.0,0.9869791666666666,1.0,1.0,15.000000000000046,33.64216724361323,0.11650459521454899,0.9052371648783056,-5.753297868434234,14.566993163533589,248,172,2070.0,1760.0,1930.0,116.99571877367984,62.85795912340699,179.85367789708684,,8
