season,t,T,phi,X,T_dp,mode,Q_cool,Q_AC,Q_dem,W_el,W_comp,W_fan,COP_res
winter,0.0,15.000000000000046,0.5999999999999978,0.006431847563044655,7.32773505469906,OFF,0.0,0.0,2.2,0.0,0.0,0.0,0.0
winter,5.0,18.003543589198433,0.4955830302094426,0.006431847563044655,7.32773505469906,OFF,0.0,0.0,2.1833333333333336,0.0,0.0,0.0,0.0
winter,10.0,20.983930276351046,0.4117351949153842,0.006431847563044655,7.32773505469906,OFF,0.0,0.0,2.166666666666667,0.0,0.0,0.0,0.0
winter,15.0,23.94113364591381,0.3439958675050351,0.006431847563044655,7.32773505469906,OFF,0.0,0.0,2.1500000000000004,0.0,0.0,0.0,0.0
winter,20.0,22.691363517545227,0.3354976978833058,0.005811219542881707,5.865026922826513,VENT,4.433784455008608,0.0,2.1333333333333333,0.15,0.0,0.15,0.0
winter,25.0,21.677489537253674,0.3271582158849013,0.005323251208220593,4.613344803628619,VENT,3.94936093760112,0.0,2.1166666666666667,0.15,0.0,0.15,0.0
winter,30.0,20.8480168668934,0.31955962261990395,0.0049386220504256785,3.5522332846881195,VENT,3.5683556175857634,0.0,2.1,0.15,0.0,0.15,0.0
winter,35.0,20.162578731492957,0.3129881703805296,0.004634497131253151,2.659573440754105,VENT,3.2678926946677613,0.0,2.0833333333333335,0.15,0.0,0.15,0.0
winter,40.0,23.014725559058537,0.2628628832397146,0.004634497131253151,2.659573440754105,OFF,0.0,0.0,2.066666666666667,0.0,0.0,0.0,0.0
winter,45.0,21.773260261193325,0.2685396433951018,0.004388563929000651,1.89857958038064,VENT,3.571061917762391,0.0,2.05,0.15,0.0,0.15,0.0
winter,50.0,20.766945677133588,0.2729646965477992,0.00419252570900873,1.2641777297018275,VENT,3.2587946720858234,0.0,2.033333333333333,0.15,0.0,0.15,0.0
winter,55.0,19.944035877255615,0.2765037360537485,0.004035368923592558,0.7361644784717821,VENT,3.01186590609424,0.0,2.0166666666666666,0.15,0.0,0.15,0.0
winter,60.0,22.707266557122015,0.23340850261681956,0.004035368923592558,0.7361644784717821,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
winter,65.0,21.398424283025722,0.24462583235885985,0.0039040800918373948,0.2807850198645752,VENT,3.33986969420242,0.0,2.0,0.15,0.0,0.15,0.0
winter,70.0,20.36032589831355,0.2536793574794228,0.0037974191070751177,-0.09935746321875184,VENT,3.067490804937441,0.0,2.0,0.15,0.0,0.15,0.0
winter,75.0,23.124738204709285,0.2142422674209088,0.0037974191070751177,-0.09935746321875184,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
winter,80.0,21.668312992259107,0.22845658920504755,0.0037055933684545894,-0.4343458351255895,VENT,3.3792195473211164,0.0,2.0,0.15,0.0,0.15,0.0
winter,85.0,20.515362387249098,0.24023206103104647,0.003629734269550177,-0.7167274385658357,VENT,3.097995372842414,0.0,2.0,0.15,0.0,0.15,0.0
winter,90.0,19.598885765114858,0.24984293650364967,0.0035663324638138577,-0.9568111896523087,VENT,2.8789311507405277,0.0,2.0,0.15,0.0,0.15,0.0
winter,95.0,22.3645484841263,0.21077666440902945,0.0035663324638138577,-0.9568111896523087,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
winter,100.0,25.129961715497625,0.17845791006892836,0.0035663324638138577,-0.9568111896523087,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
winter,105.0,22.099384165327365,0.21420745121213275,0.0035663324638138577,-0.9568111896523087,AC,5.491510704258223,5.491510704258223,2.0,1.6860732765611117,1.076077181360343,0.6099960952007687,5.103268426634629
winter,110.0,19.348941543818302,0.2537574173443106,0.0035663324638138577,-0.9568111896523087,AC,5.168471436370011,5.168471436370011,2.0,1.5940280049606852,0.9840319097599165,0.6099960952007687,5.252341296158791
winter,115.0,22.114625944481904,0.2140085530893699,0.0035663324638138577,-0.9568111896523087,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
winter,120.0,24.880062440338246,0.1811363069433556,0.0035663324638138577,-0.9568111896523087,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
winter,125.0,21.87277639948174,0.2171892648978211,0.0035663324638138577,-0.9568111896523087,AC,5.464648975635615,5.464648975635615,2.0,1.678178113415052,1.0681820182142834,0.6099960952007687,5.115840636197056
winter,130.0,19.14305307389145,0.2570337665473907,0.0035663324638138577,-0.9568111896523087,AC,5.1445818925748075,5.1445818925748075,2.0,1.5874701190061442,0.9774740238053754,0.6099960952007687,5.263139241845616
winter,135.0,21.90875522620597,0.21671273254332296,0.0035663324638138577,-0.9568111896523087,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
