T_room,T_amb,Q_AC_kW,COP_inner,clamped
14.0,-1.0,7.398480404404163,5.995121792998882,True
14.0,1.0,7.398480404404163,5.995121792998882,True
14.0,3.0,7.398480404404163,5.995121792998882,True
14.0,5.0,7.398480404404163,5.995121792998882,True
14.0,7.0,7.398480404404163,5.995121792998882,True
14.0,9.0,7.398480404404163,5.995121792998882,True
14.0,11.0,7.398480404404163,5.995121792998882,True
14.0,13.0,7.398480404404163,5.995121792998882,True
14.0,15.0,7.398480404404163,5.995121792998882,True
14.0,17.0,7.398480404404163,5.995121792998882,True
14.0,19.0,7.398480404404163,5.995121792998882,True
14.0,21.0,7.398480404404163,5.995121792998882,True
14.0,23.0,7.333501736011809,5.823612028437854,False
14.0,25.0,7.15615790732936,5.39068988980423,False
14.0,27.0,6.978989898780071,5.00366548529211,False
14.0,29.0,6.801967497813811,4.655909466442742,False
14.0,31.0,6.625068290770953,4.3419232602402955,False
14.0,33.0,6.448275913453889,4.057118258980937,False
14.0,35.0,6.271578648033024,3.7976434539275177,False
14.0,37.0,6.09496825590448,3.56024955910158,False
14.5,-1.0,7.480674917447926,5.987109683126014,True
14.5,1.0,7.480674917447926,5.987109683126014,True
14.5,3.0,7.480674917447926,5.987109683126014,True
14.5,5.0,7.480674917447926,5.987109683126014,True
14.5,7.0,7.480674917447926,5.987109683126014,True
14.5,9.0,7.480674917447926,5.987109683126014,True
14.5,11.0,7.480674917447926,5.987109683126014,True
14.5,13.0,7.480674917447926,5.987109683126014,True
14.5,15.0,7.480674917447926,5.987109683126014,True
14.5,17.0,7.480674917447926,5.987109683126014,True
14.5,19.0,7.480674917447926,5.987109683126014,True
14.5,21.0,7.480674917447926,5.987109683126014,True
14.5,23.0,7.468756768859112,5.955526868982145,False
14.5,25.0,7.28882018988458,5.507133752220924,False
14.5,27.0,7.109066372952802,5.107006390242801,False
14.5,29.0,6.92946175914583,4.748086505311352,False
14.5,31.0,6.749981116992716,4.424533970388388,False
14.5,33.0,6.570605654887665,4.1314863300493405,False
14.5,35.0,6.391321516534854,3.8648716387528905,False
14.5,37.0,6.212118536984298,3.621261324183529,False
15.0,-1.0,7.563232879621951,5.978575873043154,True
15.0,1.0,7.563232879621951,5.978575873043154,True
15.0,3.0,7.563232879621951,5.978575873043154,True
15.0,5.0,7.563232879621951,5.978575873043154,True
15.0,7.0,7.563232879621951,5.978575873043154,True
15.0,9.0,7.563232879621951,5.978575873043154,True
15.0,11.0,7.563232879621951,5.978575873043154,True
15.0,13.0,7.563232879621951,5.978575873043154,True
15.0,15.0,7.563232879621951,5.978575873043154,True
15.0,17.0,7.563232879621951,5.978575873043154,True
15.0,19.0,7.563232879621951,5.978575873043154,True
15.0,21.0,7.563232879621951,5.978575873043154,True
15.0,23.0,7.563232879621951,5.978575873043154,True
15.0,25.0,7.423366010633877,5.627547648529705,False
15.0,27.0,7.240992504881078,5.213682662245219,False
15.0,29.0,7.05877248837487,4.843083486457871,False
15.0,31.0,6.876677753701329,4.509543358296972,False
15.0,33.0,6.69468695702758,4.207906634688803,False
15.0,35.0,6.512784002954249,3.9338654195304397,False
15.0,37.0,6.3309567173652015,3.6838001268892864,False
15.5,-1.0,7.646146421844537,5.969530841079298,True
15.5,1.0,7.646146421844537,5.969530841079298,True
15.5,3.0,7.646146421844537,5.969530841079298,True
15.5,5.0,7.646146421844537,5.969530841079298,True
15.5,7.0,7.646146421844537,5.969530841079298,True
15.5,9.0,7.646146421844537,5.969530841079298,True
15.5,11.0,7.646146421844537,5.969530841079298,True
15.5,13.0,7.646146421844537,5.969530841079298,True
15.5,15.0,7.646146421844537,5.969530841079298,True
15.5,17.0,7.646146421844537,5.969530841079298,True
15.5,19.0,7.646146421844537,5.969530841079298,True
15.5,21.0,7.646146421844537,5.969530841079298,True
15.5,23.0,7.646146421844537,5.969530841079298,True
15.5,25.0,7.559817338958935,5.7521329665917635,False
15.5,27.0,7.374789701638537,5.323855591413871,False
15.5,29.0,7.1899205816147695,4.941030514924114,False
15.5,31.0,7.005178625512491,4.597057112412676,False
15.5,33.0,6.820539803767301,4.2864656193340664,False
15.5,35.0,6.635985674754515,4.004695981557353,False
15.5,37.0,6.451501967435696,3.7479249723419623,False
16.0,-1.0,7.729407434322752,5.959985101318962,True
16.0,1.0,7.729407434322752,5.959985101318962,True
16.0,3.0,7.729407434322752,5.959985101318962,True
16.0,5.0,7.729407434322752,5.959985101318962,True
16.0,7.0,7.729407434322752,5.959985101318962,True
16.0,9.0,7.729407434322752,5.959985101318962,True
16.0,11.0,7.729407434322752,5.959985101318962,True
16.0,13.0,7.729407434322752,5.959985101318962,True
16.0,15.0,7.729407434322752,5.959985101318962,True
16.0,17.0,7.729407434322752,5.959985101318962,True
16.0,19.0,7.729407434322752,5.959985101318962,True
16.0,21.0,7.729407434322752,5.959985101318962,True
16.0,23.0,7.729407434322752,5.959985101318962,True
16.0,25.0,7.698196440376805,5.881104271449022,False
16.0,27.0,7.5104796454487595,5.4376965549685705,False
