T_room,T_amb,Q_AC_kW,COP_inner,clamped
8.0,0.0,4.48838985808059,6.230638964088066,True
8.0,1.0,4.48838985808059,6.230638964088066,True
8.0,2.0,4.48838985808059,6.230638964088066,True
8.0,3.0,4.48838985808059,6.230638964088066,True
8.0,4.0,4.48838985808059,6.230638964088066,True
8.0,5.0,4.48838985808059,6.230638964088066,True
8.0,6.0,4.48838985808059,6.230638964088066,True
8.0,7.0,4.479664542185753,6.189862918252284,False
8.0,8.0,4.435719152637093,5.990654315998656,False
8.0,9.0,4.391810652058322,5.801325547333155,False
8.0,10.0,4.347933929401498,5.621138162273192,False
8.0,11.0,4.304084670118212,5.449433348365983,False
8.0,12.0,4.260259256827736,5.285619791678154,False
8.0,13.0,4.216454686436076,5.129163954206703,False
8.0,14.0,4.172668500478115,4.9795821901783786,False
8.0,15.0,4.128898726180025,4.8364342803572224,False
8.0,16.0,4.0851438262824775,4.699318073419689,False
8.0,17.0,4.041402656076383,4.567865001723218,False
8.0,18.0,3.9976744264174315,4.441736295250361,False
8.0,19.0,3.953958671728668,4.320619758756066,False
8.0,20.0,3.9102552221897797,4.204227007618548,False
8.0,21.0,3.866564179460135,4.0922910806720845,False
8.0,22.0,3.8228858954006015,3.9845643654895087,False
8.0,23.0,3.7792209533528647,3.8808167846956123,False
8.0,24.0,3.7355701516104522,3.780834201980647,False
8.0,25.0,3.691934488776218,3.684417014333228,False
8.0,26.0,3.6483151507510754,3.5913789031079366,False
8.0,27.0,3.6047134991385104,3.5015457214590473,False
8.0,28.0,3.5611310608832976,3.414754499459344,False
8.0,29.0,3.5175695189899265,3.330852551356186,False
8.0,30.0,3.474030704189024,3.2496966718995512,False
8.0,31.0,3.4305165874394574,3.171152410709691,False
8.0,32.0,3.3870292731691327,3.0950934153121965,False
8.0,33.0,3.343570993171479,3.021400834836587,False
8.0,34.0,3.300144101085628,2.9499627775083193,False
8.0,35.0,3.2567510673978477,2.8806738160074,False
8.0,36.0,3.213394474910242,2.813434535559356,False
9.0,0.0,4.623829614935345,6.286080082848331,True
9.0,1.0,4.623829614935345,6.286080082848331,True
9.0,2.0,4.623829614935345,6.286080082848331,True
9.0,3.0,4.623829614935345,6.286080082848331,True
9.0,4.0,4.623829614935345,6.286080082848331,True
9.0,5.0,4.623829614935345,6.286080082848331,True
9.0,6.0,4.623829614935345,6.286080082848331,True
9.0,7.0,4.623829614935345,6.286080082848331,True
9.0,8.0,4.62306477627593,6.282535011849268,False
9.0,9.0,4.577777021065926,6.078005453158779,False
9.0,10.0,4.532529542272044,5.883705437242982,False
9.0,11.0,4.487317068091293,5.698871512617508,False
9.0,12.0,4.442135143323938,5.522821681711045,False
9.0,13.0,4.3969800273780395,5.354943150970964,False
9.0,14.0,4.351848609162249,5.194682496157258,False
9.0,15.0,4.306738335553447,5.041537668461245,False
9.0,16.0,4.261647150870422,4.895051422537609,False
9.0,17.0,4.21657344534211,4.754805856676865,False
9.0,18.0,4.171516010980994,4.620417833073697,False
9.0,19.0,4.126474003595195,4.491535102247428,False
9.0,20.0,4.0814469099222075,4.367832996675823,False
9.0,21.0,4.036434519061363,4.249011589026502,False
9.0,22.0,3.9914368975348467,4.134793233045283,False
9.0,23.0,3.946454367427834,4.024920422294389,False
9.0,24.0,3.901487487154814,3.91915391501477,False
9.0,25.0,3.856537034476146,3.817271083457267,False
9.0,26.0,3.811603991451902,3.719064453881054,False
9.0,27.0,3.766689531070262,3.624340409513259,False
9.0,28.0,3.7217950053297746,3.532918033697983,False
9.0,29.0,3.6769219345885773,3.444628074260405,False
9.0,30.0,3.6320719980219405,3.359312013263165,False
9.0,31.0,3.5872470250530935,3.2768212288330214,False
9.0,32.0,3.542448987641448,3.1970162377841302,False
9.0,33.0,3.4976799933290508,3.1197660094436186,False
9.0,34.0,3.4529422789597146,3.0449473424690763,False
9.0,35.0,3.4082382049967435,2.9724442975974124,False
9.0,36.0,3.363570250375353,2.9021476802231296,False
10.0,0.0,4.761902411033505,6.338667256205562,True
10.0,1.0,4.761902411033505,6.338667256205562,True
10.0,2.0,4.761902411033505,6.338667256205562,True
10.0,3.0,4.761902411033505,6.338667256205562,True
10.0,4.0,4.761902411033505,6.338667256205562,True
10.0,5.0,4.761902411033505,6.338667256205562,True
10.0,6.0,4.761902411033505,6.338667256205562,True
10.0,7.0,4.761902411033505,6.338667256205562,True
10.0,8.0,4.761902411033505,6.338667256205562,True
10.0,9.0,4.761902411033505,6.338667256205562,True
10.0,10.0,4.722958023409208,6.164235431547469,False
10.0,11.0,4.6763385700553535,5.964920272572615,False
10.0,12.0,4.6297573987563085,5.775405694883189,False
10.0,13.0,4.5832099096902805,5.594985317352352,False
10.0,14.0,4.536692235352125,5.423023795684036,False
10.0,15.0,4.49020115318236,5.258946863130259,False
10.0,16.0,4.4437340121287034,5.102233214979757,False
10.0,17.0,4.397288670503891,4.9524078198586245,False
10.0,18.0,4.350863443075587,4.809036349194482,False
10.0,19.0,4.304457055757165,4.671720493375215,False
10.0,20.0,4.258068606599756,4.540093988867329,False
10.0,21.0,4.211697532041462,4.413819221324038,False
10.0,22.0,4.165343577569268,4.292584299884559,False
10.0,23.0,4.119006772105705,4.176100520441992,False
10.0,24.0,4.072687405556377,4.064100152741321,False
10.0,25.0,4.0263860090530805,3.9563344992143903,False
10.0,26.0,3.9801033375070953,3.8525721835267146,False
10.0,27.0,3.933840354150725,3.752597634662178,False
10.0,28.0,3.8875982167979055,3.656209738478545,False
10.0,29.0,3.8413782655969193,3.563220633618841,False
10.0,30.0,3.795182012083343,3.4734546324757365,False
10.0,31.0,3.74901112937053,3.386747251080866,False
10.0,32.0,3.702867443338548,3.302944334309851,False
10.0,33.0,3.6567529247028987,3.2219012648642353,False
10.0,34.0,3.610669681861013,3.143482246189981,False
10.0,35.0,3.564619954428444,3.067559650894817,False
10.0,36.0,3.518606107388973,2.99401342739516,False
11.0,0.0,4.902617375892706,6.388341594265013,True
11.0,1.0,4.902617375892706,6.388341594265013,True
11.0,2.0,4.902617375892706,6.388341594265013,True
11.0,3.0,4.902617375892706,6.388341594265013,True
11.0,4.0,4.902617375892706,6.388341594265013,True
11.0,5.0,4.902617375892706,6.388341594265013,True
11.0,6.0,4.902617375892706,6.388341594265013,True
11.0,7.0,4.902617375892706,6.388341594265013,True
11.0,8.0,4.902617375892706,6.388341594265013,True
11.0,9.0,4.902617375892706,6.388341594265013,True
11.0,10.0,4.902617375892706,6.388341594265013,True
11.0,11.0,4.871290927946828,6.249293579875553,False
11.0,12.0,4.823265829634878,6.04492428319784,False
11.0,13.0,4.775282339247653,5.850699728295226,False
11.0,14.0,4.727335708283756,5.665887922353777,False
11.0,15.0,4.67942193853499,5.489829876351222,False
11.0,16.0,4.631537692414116,5.321929507683671,False
11.0,17.0,4.583680217578336,5.161645390656978,False
11.0,18.0,4.535847283143945,5.008483939809367,False
11.0,19.0,4.488037125374298,4.861993718483235,False
11.0,20.0,4.440248401167658,4.7217606416798965,False
11.0,21.0,4.392480148011172,4.587403897596623,False
11.0,22.0,4.344731749329836,4.458572452768437,False
11.0,23.0,4.297002904363862,4.334942035755856,False
11.0,24.0,4.249293601868567,4.2162125168073175,False
11.0,25.0,4.201604097057811,4.102105617953917,False
11.0,26.0,4.153934891314023,3.992362901019433,False
11.0,27.0,4.106286714268567,3.8867439910906483,False
11.0,28.0,4.058660507922661,3.7850250008511606,False
11.0,29.0,4.011057412532143,3.686997127304116,False
11.0,30.0,3.963478754023138,3.592465397382348,False
11.0,31.0,3.9159260327419245,3.501247542777881,False
11.0,32.0,3.8684009133714885,3.4131729875209094,False
11.0,33.0,3.8209052158723797,3.328081934383079,False
11.0,34.0,3.7734409073258486,3.245824538272159,False
11.0,35.0,3.7260100945742836,3.1662601565067665,False
11.0,36.0,3.6786150175688817,3.0892566672849564,False
12.0,0.0,5.045982483602168,6.435053047538347,True
12.0,1.0,5.045982483602168,6.435053047538347,True
12.0,2.0,5.045982483602168,6.435053047538347,True
12.0,3.0,5.045982483602168,6.435053047538347,True
12.0,4.0,5.045982483602168,6.435053047538347,True
12.0,5.0,5.045982483602168,6.435053047538347,True
12.0,6.0,5.045982483602168,6.435053047538347,True
12.0,7.0,5.045982483602168,6.435053047538347,True
12.0,8.0,5.045982483602168,6.435053047538347,True
12.0,9.0,5.045982483602168,6.435053047538347,True
12.0,10.0,5.045982483602168,6.435053047538347,True
12.0,11.0,5.045982483602168,6.435053047538347,True
12.0,12.0,5.022803893659731,6.333132218590756,False
12.0,13.0,4.973338791164652,6.12367480088487,False
12.0,14.0,4.923918668411362,5.924715815348921,False
12.0,15.0,4.874538624070513,5.735496401700198,False
12.0,16.0,4.825194525349205,5.555332811462246,False
12.0,17.0,4.775882915979638,5.3836061578735475,False
12.0,18.0,4.726600938872398,5.219754019064309,False
12.0,19.0,4.677346270660355,5.063263481335005,False
12.0,20.0,4.628117065961077,4.913665315949013,False
12.0,21.0,4.578911909640918,4.770529058889622,False
12.0,22.0,4.529729775712861,4.633458818024817,False
12.0,23.0,4.4805699917692605,4.502089672406077,False
12.0,24.0,4.431432208060524,4.376084558297636,False
12.0,25.0,4.38231637049527,4.25513155893363,False
12.0,26.0,4.33322269696853,4.138941531984806,False
12.0,27.0,4.2841516565278654,4.027246021721318,False
12.0,28.0,4.23510395097153,3.91979541294031,False
12.0,29.0,4.186080498539808,3.81635729153556,False
12.0,30.0,4.137082419415648,3.7167149828527735,False
12.0,31.0,4.0881110227957835,3.620666243819601,False
12.0,32.0,4.039167795329961,3.5280220888201734,False
12.0,33.0,3.9902543907568147,3.43860573245263,False
12.0,34.0,3.941372620589986,3.352251634894505,False
12.0,35.0,3.892524445729046,3.26880463772108,False
12.0,36.0,3.843711968887837,3.1881191797664705,False
13.0,0.0,5.192004519051698,6.478760558918381,True
13.0,1.0,5.192004519051698,6.478760558918381,True
13.0,2.0,5.192004519051698,6.478760558918381,True
13.0,3.0,5.192004519051698,6.478760558918381,True
13.0,4.0,5.192004519051698,6.478760558918381,True
13.0,5.0,5.192004519051698,6.478760558918381,True
13.0,6.0,5.192004519051698,6.478760558918381,True
13.0,7.0,5.192004519051698,6.478760558918381,True
13.0,8.0,5.192004519051698,6.478760558918381,True
13.0,9.0,5.192004519051698,6.478760558918381,True
13.0,10.0,5.192004519051698,6.478760558918381,True
13.0,11.0,5.192004519051698,6.478760558918381,True
13.0,12.0,5.192004519051698,6.478760558918381,True
13.0,13.0,5.1775244505634905,6.415706724562851,False
13.0,14.0,5.126584280543189,6.2011323068211395,False
13.0,15.0,5.0756925053810935,5.997419371952315,False
13.0,16.0,5.024844066676688,5.803780911045474,False
13.0,17.0,4.974034693074467,5.619507283001546,False
13.0,18.0,4.9232608058754,5.443955795942212,False
13.0,19.0,4.872519439687597,5.276542148762497,False
13.0,20.0,4.821808175271863,5.116733321453653,False
13.0,21.0,4.771125082354377,4.964041608507556,False
13.0,22.0,4.720468670646216,4.818019565169265,False
13.0,23.0,4.6698378476667175,4.678255690917404,False
13.0,24.0,4.6192318822438505,4.544370714603896,False
13.0,25.0,4.56865037277955,4.416014375405041,False
13.0,26.0,4.518093219537519,4.292862616063291,False
13.0,27.0,4.467560600344054,4.174615121838291,False
13.0,28.0,4.417052949199872,4.06099315158786,False
13.0,29.0,4.366570937386098,3.951737617484024,False
13.0,30.0,4.316115456716837,3.8466073776995864,False
13.0,31.0,4.265687604647378,3.7453777126966763,False
13.0,32.0,4.215288670992476,3.6478389606192763,False
13.0,33.0,4.1649201260475435,3.553795291310696,False
13.0,34.0,4.1145836099365525,3.463063601674309,False
13.0,35.0,4.064280923036242,3.375472517716724,False
13.0,36.0,4.014014017348247,3.290861490762488,False
14.0,0.0,5.340689043177396,6.519432160947422,True
14.0,1.0,5.340689043177396,6.519432160947422,True
14.0,2.0,5.340689043177396,6.519432160947422,True
14.0,3.0,5.340689043177396,6.519432160947422,True
14.0,4.0,5.340689043177396,6.519432160947422,True
14.0,5.0,5.340689043177396,6.519432160947422,True
14.0,6.0,5.340689043177396,6.519432160947422,True
14.0,7.0,5.340689043177396,6.519432160947422,True
14.0,8.0,5.340689043177396,6.519432160947422,True
14.0,9.0,5.340689043177396,6.519432160947422,True
14.0,10.0,5.340689043177396,6.519432160947422,True
14.0,11.0,5.340689043177396,6.519432160947422,True
14.0,12.0,5.340689043177396,6.519432160947422,True
14.0,13.0,5.340689043177396,6.519432160947422,True
14.0,14.0,5.335479479629987,6.496975582105459,False
14.0,15.0,5.283028458794511,6.2772604649872905,False
14.0,16.0,5.230629288410327,6.068779043064242,False
14.0,17.0,5.178276748663122,5.870714854754565,False
14.0,18.0,5.125966425555795,5.682331217227046,False
14.0,19.0,5.073694614104396,5.502960622327616,False
14.0,20.0,5.021458236953729,5.3319960011725165,False
14.0,21.0,4.969254775496365,5.168883447731072,False
14.0,22.0,4.917082211211463,5.013116096495382,False
14.0,23.0,4.86493897541857,4.86422892419428,False
