season,t,T,phi,X,T_dp,mode,Q_cool,Q_AC,Q_dem,W_el,W_comp,W_fan,COP_res
spring,0.0,14.999999999999993,0.6000000000000001,0.006431847335714276,7.327734542473123,OFF,0.0,0.0,2.2,0.0,0.0,0.0,0.0
spring,5.0,18.003543590471278,0.49558301916340286,0.006431847335714276,7.327734542473123,OFF,0.0,0.0,2.1833333333333336,0.0,0.0,0.0,0.0
spring,10.0,20.983930278882568,0.4117351757463221,0.006431847335714276,7.327734542473123,OFF,0.0,0.0,2.166666666666667,0.0,0.0,0.0,0.0
spring,15.0,23.941133649691245,0.34399584988086535,0.006431847335714276,7.327734542473123,OFF,0.0,0.0,2.1500000000000004,0.0,0.0,0.0,0.0
spring,20.0,23.639161633702514,0.3317063895980636,0.006087057196590135,6.531564892840922,VENT,3.0894521827643855,0.0,2.1333333333333333,0.15,0.0,0.15,0.0
spring,25.0,23.350564736948815,0.32218434772984134,0.00580773266308579,5.856421595425203,VENT,2.9271043478612127,0.0,2.1166666666666667,0.15,0.0,0.15,0.0
spring,30.0,23.07241652510945,0.31488395334478975,0.005579489202698882,5.282833524728415,VENT,2.7967800829777505,0.0,2.1,0.15,0.0,0.15,0.0
spring,35.0,22.809734851842194,0.30935849190972387,0.005393472829977401,4.799634383899709,VENT,2.680582467710155,0.0,2.0833333333333335,0.15,0.0,0.15,0.0
spring,40.0,22.559119761331345,0.3052588872986426,0.005240400413188951,4.390705861308118,VENT,2.5862812376550797,0.0,2.066666666666667,0.15,0.0,0.15,0.0
spring,45.0,22.317915692804117,0.30230109165952446,0.0051130418446315405,4.042251837895502,VENT,2.5090337721715947,0.0,2.05,0.15,0.0,0.15,0.0
spring,50.0,22.084049524804513,0.3002555739745898,0.005005766065895761,3.7426728134509766,VENT,2.4450684951114736,0.0,2.033333333333333,0.15,0.0,0.15,0.0
spring,55.0,21.85590282467417,0.29893789455073105,0.0049141872886859445,3.4823547740935887,VENT,2.3914477763189663,0.0,2.0166666666666666,0.15,0.0,0.15,0.0
spring,60.0,21.63221290893735,0.2982004196866249,0.004834889326801536,3.253419652386463,VENT,2.3458846296084563,0.0,2.0,0.15,0.0,0.15,0.0
spring,65.0,21.428681960365292,0.2975510829133763,0.004764084494476101,3.046151119747074,VENT,2.3119051006581026,0.0,2.0,0.15,0.0,0.15,0.0
spring,70.0,21.240855641340584,0.2969768251620739,0.004699966341317334,2.8560679228487906,VENT,2.2852913675686635,0.0,2.0,0.15,0.0,0.15,0.0
spring,75.0,21.065262930721957,0.29646552764420553,0.0046411275989994396,2.679586118249481,VENT,2.2644149860873095,0.0,2.0,0.15,0.0,0.15,0.0
spring,80.0,20.89919928991111,0.2960064327526625,0.004586471750747102,2.513850358639978,VENT,2.248007989955621,0.0,2.0,0.15,0.0,0.15,0.0
spring,85.0,20.74055754474722,0.29559025316750887,0.00453514443167621,2.35659325566482,VENT,2.235082603287689,0.0,2.0,0.15,0.0,0.15,0.0
spring,90.0,20.58769603901459,0.2952091340191179,0.004486479503585003,2.2060176825372295,VENT,2.224870279308217,0.0,2.0,0.15,0.0,0.15,0.0
spring,95.0,20.442997259270523,0.2948606709966973,0.0044410318495167085,2.0640731914047077,VENT,2.211573953878317,0.0,2.0,0.15,0.0,0.15,0.0
spring,100.0,23.20410841091256,0.24909795659113318,0.0044410318495167085,2.0640731914047077,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
spring,105.0,22.429612802136695,0.2581334329019164,0.00439070120925742,1.905355411783304,VENT,2.737332809174795,0.0,2.0,0.15,0.0,0.15,0.0
spring,110.0,21.800712467277222,0.2653931132996521,0.004344114634849349,1.7569892665842564,VENT,2.6103505530965943,0.0,2.0,0.15,0.0,0.15,0.0
spring,115.0,21.28522386115015,0.2711697348843438,0.004300495994862635,1.6167810302892036,VENT,2.511348346857216,0.0,2.0,0.15,0.0,0.15,0.0
spring,120.0,20.858074721207018,0.27572767834637196,0.004259240729318283,1.4829956312392494,VENT,2.4341372720320793,0.0,2.0,0.15,0.0,0.15,0.0
spring,125.0,20.499734093115443,0.27929638293181336,0.004219877437564262,1.3542619854292277,VENT,2.3738983958162208,0.0,2.0,0.15,0.0,0.15,0.0
spring,130.0,23.26197167279943,0.2359505618505744,0.004219877437564262,1.3542619854292277,OFF,0.0,0.0,2.0,0.0,0.0,0.0,0.0
spring,135.0,22.320812176606488,0.24716150284934651,0.0041749072657694935,1.2058720990398943,VENT,2.862457169883439,0.0,2.0,0.15,0.0,0.15,0.0
spring,140.0,21.562096831487498,0.2562809901089435,0.004132803322645804,1.0656399908504992,VENT,2.7071569461502856,0.0,2.0,0.15,0.0,0.15,0.0
spring,145.0,20.945494376702793,0.26361359490412184,0.004092981926136188,0.9318308237735841,VENT,2.5861043528209864,0.0,2.0,0.15,0.0,0.15,0.0
spring,150.0,20.43958605372082,0.26945219174495283,0.004054988093699362,0.8030740948754835,VENT,2.4917247003178966,0.0,2.0,0.15,0.0,0.15,0.0
spring,155.0,23.225697457664214,0.22728823977026946,0.004054988093699362,0.8030740948754835,OFF,0.0,0.0,2.0166666666666666,0.0,0.0,0.0,0.0
spring,160.0,22.212381989915936,0.2392438643832431,0.004013546493439972,0.6613985706451192,VENT,2.9473388192630816,0.0,2.033333333333333,0.15,0.0,0.15,0.0
spring,165.0,21.421503087780483,0.24871430129571595,0.00397539985367335,0.5298276030671848,VENT,2.775157362656032,0.0,2.05,0.15,0.0,0.15,0.0
spring,170.0,20.803892036294734,0.25603440896078583,0.003939855291404241,0.40621240604815234,VENT,2.644674216363546,0.0,2.066666666666667,0.15,0.0,0.15,0.0
spring,175.0,20.321244682611542,0.26154313484864633,0.003906372914184191,0.2888543549969353,VENT,2.5466663203906768,0.0,2.0833333333333335,0.15,0.0,0.15,0.0
spring,180.0,23.22328900713537,0.21904200085890196,0.003906372914184191,0.2888543549969353,OFF,0.0,0.0,2.1,0.0,0.0,0.0,0.0
spring,185.0,22.202456228419326,0.23080861765480876,0.003868802476804912,0.15609268333159784,VENT,3.0286506031949214,0.0,2.1166666666666667,0.15,0.0,0.15,0.0
spring,190.0,21.4057374069948,0.2401444910508257,0.0038338481788379648,0.03153731600835208,VENT,2.856547457040443,0.0,2.1333333333333333,0.15,0.0,0.15,0.0
spring,195.0,20.78358965431216,0.2473724402581043,0.003800966248083653,-0.08656290914409515,VENT,2.726127496093304,0.0,2.1500000000000004,0.15,0.0,0.15,0.0
spring,200.0,20.297418575855342,0.2528217832981206,0.0037697330220775364,-0.19958979447900116,VENT,2.6281707978803563,0.0,2.166666666666667,0.15,0.0,0.15,0.0
spring,205.0,23.31538377634034,0.21025339928652526,0.0037697330220775364,-0.19958979447900116,OFF,0.0,0.0,2.1833333333333336,0.0,0.0,0.0,0.0
spring,210.0,22.266179492908346,0.22196709316307212,0.0037342625022644092,-0.3289695807194599,VENT,3.1306693442431475,0.0,2.2,0.15,0.0,0.15,0.0
spring,215.0,21.488145680874883,0.230711986013468,0.003701116414212604,-0.45086702526970457,VENT,2.9540740420402867,0.0,2.25,0.15,0.0,0.15,0.0
spring,220.0,20.92133874664546,0.23687045174850613,0.003669814445325324,-0.566881203627223,VENT,2.827531132529764,0.0,2.3000000000000003,0.15,0.0,0.15,0.0
spring,225.0,20.51906222942843,0.24085140539856584,0.003639982541756551,-0.6782724977069844,VENT,2.739969053487723,0.0,2.35,0.15,0.0,0.15,0.0
spring,230.0,20.244941472149947,0.2430467336067473,0.003611329318631794,-0.786033115438137,VENT,2.6827654981559528,0.0,2.4,0.15,0.0,0.15,0.0
