refrigerant,bore_mm,frac_T_recommended,frac_T_allowable,frac_phi_recommended,frac_phi_allowable,T_min,T_max,phi_min,phi_max,ac_starts_total,vent_starts_total,ac_min_total,vent_min_total,off_min_total,E_ac_kWh,E_vent_kWh,E_total_kWh,_tag
Propane,30.0,0.9204152249134948,1.0,0.661764705882353,1.0,12.206825253329825,33.7251186244383,0.11299322257465806,0.754753409966055,122,106,3370.0,700.0,1710.0,52.39633552809231,7.116621110675634,59.51295663876794,fixed G=1.0
Propane,30.0,0.9074394463667821,1.0,0.6219723183391004,1.0,12.002483701801033,32.59749483172713,0.11567256792277424,0.7444223862740116,108,101,3565.0,625.0,1590.0,53.80771723472036,6.354125991674673,60.161843226395035,fixed G=2.0
Propane,30.0,0.8866782006920415,1.0,0.6150519031141869,1.0,12.540585623595593,29.75967712150348,0.10770309247717565,0.749559799048246,110,123,3105.0,800.0,1875.0,49.09904310334767,8.13328126934358,57.23232437269125,sched T*=24 K=0.5
Propane,30.0,0.8797577854671281,1.0,0.6089965397923875,1.0,12.540585623595593,29.75967712150348,0.10770309247717565,0.7690137433093158,110,123,3110.0,800.0,1870.0,49.12239299249801,8.13328126934358,57.255674261841584,sched T*=24 K=1.0
Propane,30.0,0.8780276816608996,1.0,0.6141868512110726,1.0,12.540585623595593,31.887993024303103,0.10770309247717565,0.737390362051051,111,127,3095.0,820.0,1865.0,49.14481346425677,8.33661330107717,57.481426765333936,sched T*=28 K=1.0
Propane,30.0,0.8771626297577855,1.0,0.6150519031141869,1.0,12.540585623595593,31.887993024303103,0.10770309247717565,0.7264905103989716,111,127,3090.0,820.0,1870.0,49.05881863182554,8.33661330107717,57.39543193290271,sched T*=28 K=0.5
Propane,30.0,0.8589965397923875,1.0,0.7257785467128027,1.0,11.47256033617167,31.24567644488801,0.12853009679409022,0.6209189780127091,96,98,3540.0,775.0,1465.0,52.4006745441262,7.879116229676595,60.2797907738028,fixed G=3.0
Propane,30.0,0.8581314878892734,1.0,0.6176470588235294,1.0,12.540585623595593,34.27901269023576,0.10770309247717565,0.7632781833626534,114,127,3055.0,820.0,1905.0,48.64656588957267,8.33661330107717,56.983179190649835,fixed G=0.0
