refrigerant,bore_mm,E_ac_kWh,E_vent_kWh,E_total_kWh,cost_ac_CHF,cost_vent_CHF,cost_total_CHF
R1234yf,30.0,53.51954317220773,35.699526306474155,89.21906947868189,5.763407494978118,3.8588396300675902,9.622247125045709
Propane,30.0,63.275133323824065,39.8172637596465,103.09239708347056,6.720403747462765,4.2737194729973496,10.994123220460114
DimethylEther,40.0,62.61330071880096,44.560195623694185,107.17349634249514,6.680662011994868,4.80191625678084,11.482578268775708
R1234yf,40.0,65.87764269965876,43.857000103442694,109.73464280310145,7.018395792839037,4.718047073994423,11.73644286683346
Propane,40.0,83.41786682951071,47.4852813518762,130.9031481813869,8.877221118314434,5.102390193706615,13.97961131202105
