"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/12/2025 00:00:00 - 12/12/2025 01:00:00","BZN|CH","Without Sequence","101.59","",""
"12/12/2025 01:00:00 - 12/12/2025 02:00:00","BZN|CH","Without Sequence","100.62","",""
"12/12/2025 02:00:00 - 12/12/2025 03:00:00","BZN|CH","Without Sequence","99.10","",""
"12/12/2025 03:00:00 - 12/12/2025 04:00:00","BZN|CH","Without Sequence","96.20","",""
"12/12/2025 04:00:00 - 12/12/2025 05:00:00","BZN|CH","Without Sequence","100.72","",""
"12/12/2025 05:00:00 - 12/12/2025 06:00:00","BZN|CH","Without Sequence","100.14","",""
"12/12/2025 06:00:00 - 12/12/2025 07:00:00","BZN|CH","Without Sequence","115.91","",""
"12/12/2025 07:00:00 - 12/12/2025 08:00:00","BZN|CH","Without Sequence","127.90","",""
"12/12/2025 08:00:00 - 12/12/2025 09:00:00","BZN|CH","Without Sequence","135.00","",""
"12/12/2025 09:00:00 - 12/12/2025 10:00:00","BZN|CH","Without Sequence","127.90","",""
"12/12/2025 10:00:00 - 12/12/2025 11:00:00","BZN|CH","Without Sequence","121.13","",""
"12/12/2025 11:00:00 - 12/12/2025 12:00:00","BZN|CH","Without Sequence","118.96","",""
"12/12/2025 12:00:00 - 12/12/2025 13:00:00","BZN|CH","Without Sequence","116.00","",""
"12/12/2025 13:00:00 - 12/12/2025 14:00:00","BZN|CH","Without Sequence","116.57","",""
"12/12/2025 14:00:00 - 12/12/2025 15:00:00","BZN|CH","Without Sequence","126.09","",""
"12/12/2025 15:00:00 - 12/12/2025 16:00:00","BZN|CH","Without Sequence","133.47","",""
"12/12/2025 16:00:00 - 12/12/2025 17:00:00","BZN|CH","Without Sequence","138.19","",""
"12/12/2025 17:00:00 - 12/12/2025 18:00:00","BZN|CH","Without Sequence","141.01","",""
"12/12/2025 18:00:00 - 12/12/2025 19:00:00","BZN|CH","Without Sequence","137.17","",""
"12/12/2025 19:00:00 - 12/12/2025 20:00:00","BZN|CH","Without Sequence","127.46","",""
"12/12/2025 20:00:00 - 12/12/2025 21:00:00","BZN|CH","Without Sequence","121.12","",""
"12/12/2025 21:00:00 - 12/12/2025 22:00:00","BZN|CH","Without Sequence","112.75","",""
"12/12/2025 22:00:00 - 12/12/2025 23:00:00","BZN|CH","Without Sequence","107.70","",""
"12/12/2025 23:00:00 - 13/12/2025 00:00:00","BZN|CH","Without Sequence","101.19","",""
