"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/03/2026 00:00:00 - 12/03/2026 01:00:00","BZN|CH","Without Sequence","141.12","",""
"12/03/2026 01:00:00 - 12/03/2026 02:00:00","BZN|CH","Without Sequence","140.00","",""
"12/03/2026 02:00:00 - 12/03/2026 03:00:00","BZN|CH","Without Sequence","138.34","",""
"12/03/2026 03:00:00 - 12/03/2026 04:00:00","BZN|CH","Without Sequence","136.51","",""
"12/03/2026 04:00:00 - 12/03/2026 05:00:00","BZN|CH","Without Sequence","136.59","",""
"12/03/2026 05:00:00 - 12/03/2026 06:00:00","BZN|CH","Without Sequence","141.59","",""
"12/03/2026 06:00:00 - 12/03/2026 07:00:00","BZN|CH","Without Sequence","144.07","",""
"12/03/2026 07:00:00 - 12/03/2026 08:00:00","BZN|CH","Without Sequence","144.70","",""
"12/03/2026 08:00:00 - 12/03/2026 09:00:00","BZN|CH","Without Sequence","144.05","",""
"12/03/2026 09:00:00 - 12/03/2026 10:00:00","BZN|CH","Without Sequence","142.52","",""
"12/03/2026 10:00:00 - 12/03/2026 11:00:00","BZN|CH","Without Sequence","141.00","",""
"12/03/2026 11:00:00 - 12/03/2026 12:00:00","BZN|CH","Without Sequence","137.99","",""
"12/03/2026 12:00:00 - 12/03/2026 13:00:00","BZN|CH","Without Sequence","135.89","",""
"12/03/2026 13:00:00 - 12/03/2026 14:00:00","BZN|CH","Without Sequence","130.00","",""
"12/03/2026 14:00:00 - 12/03/2026 15:00:00","BZN|CH","Without Sequence","136.51","",""
"12/03/2026 15:00:00 - 12/03/2026 16:00:00","BZN|CH","Without Sequence","136.61","",""
"12/03/2026 16:00:00 - 12/03/2026 17:00:00","BZN|CH","Without Sequence","140.10","",""
"12/03/2026 17:00:00 - 12/03/2026 18:00:00","BZN|CH","Without Sequence","140.99","",""
"12/03/2026 18:00:00 - 12/03/2026 19:00:00","BZN|CH","Without Sequence","150.68","",""
"12/03/2026 19:00:00 - 12/03/2026 20:00:00","BZN|CH","Without Sequence","145.00","",""
"12/03/2026 20:00:00 - 12/03/2026 21:00:00","BZN|CH","Without Sequence","145.00","",""
"12/03/2026 21:00:00 - 12/03/2026 22:00:00","BZN|CH","Without Sequence","142.39","",""
"12/03/2026 22:00:00 - 12/03/2026 23:00:00","BZN|CH","Without Sequence","141.30","",""
"12/03/2026 23:00:00 - 13/03/2026 00:00:00","BZN|CH","Without Sequence","140.19","",""
